year,address.city,address.state,business.name,industry.division,industry.major_group
2003,Rochester,NY,Wegmans Food Markets Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
2003,New Providence,NJ,BOC Group Inc A Nevada Corp,"Finance, Insurance, And Real Estate",Real Estate
2003,MEMPHIS,TN,Health Care Rtrement Corp Amer,Services,Health Services
2003,BROKEN BOW,NE,Beverly Enterprises Inc.,Services,Health Services
2003,Kingman,KS,Neville Welding Inc,Manufacturing,Industrial And Commercial Machinery And Computer Equipment
2003,Fontana,CA,ASC Profiles Inc,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,WINONA,MN,COMFORTEX INC,Manufacturing,Furniture And Fixtures
2003,Newark,NJ,Flexsol Packaging Corp,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Chatsworth,CA,Container Components Inc,Manufacturing,Rubber And Miscellaneous Plastics Products
2003,Minneapolis,MN,Evangelicl Luthrn Good Samartn,Services,Health Services
2003,Saint Paul,MN,Empire Corporation,Manufacturing,"Fabricated Metal Products, Except Machinery And Transportation Equipment"
2003,Sacramento,CA,United Stationers Supply Co,Wholesale Trade,Wholesale Trade-non-durable Goods
2003,Peru,IL,Double D Express Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,CHERRY HILL,NJ,Silver Court Nursing Center,Services,Health Services
2003,Burbank,CA,Airport Group International,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,ALEXANDRIA,VA,METROPOLITAN TRANSFER CORP,"Transportation, Communications, Electric, Gas, And Sanitary Services",Motor Freight Transportation And Warehousing
2003,MIDDLEBURY CENTER,PA,Dietrichs Milk Products LLC,Manufacturing,Food And Kindred Products
2003,FITCHBURG,MA,Hillcrest Nursing Center,Services,Health Services
2003,Neenah,WI,Kindred Nursing Centers,Services,Health Services
2003,WAGNER,SD,EVANGELICAL LUTHERAN GOOD SAM,Services,Health Services
2003,TEXAS CITY,TX,Day Break Health Care,Services,Health Services
2003,OCEANSIDE,CA,Waste Management of California,"Transportation, Communications, Electric, Gas, And Sanitary Services","Electric, Gas, And Sanitary Services"
2003,Lebanon,NH,Mary Hitchcock Memorial Hospital,Services,Health Services
2003,San Diego,CA,Southwest Airlines Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",Transportation By Air
2003,Lexington,KY,Sherman-Dixie Concrete Inds,Manufacturing,"Stone, Clay, Glass, And Concrete Products"
2003,Springfield,MO,Reckitt Benckiser Inc,Manufacturing,Food And Kindred Products
2003,Memphis,TN,Home Depot USA Inc,Retail Trade,"Building Materials, Hardware, Garden Supply, And Mobile Home Dealers"
